id,region_id,identifier
67,1,celadon-city
68,1,cerulean-city
71,1,cinnabar-island
73,1,digletts-cave
76,1,fuchsia-city
80,1,mt-moon
86,1,pallet-town
87,1,rock-tunnel
88,1,kanto-route-1
89,1,kanto-route-10
90,1,kanto-route-11
91,1,kanto-route-12
92,1,kanto-route-13
93,1,kanto-route-14
94,1,kanto-route-15
95,1,kanto-route-16
96,1,kanto-route-17
97,1,kanto-route-18
98,1,kanto-sea-route-19
99,1,kanto-route-2
100,1,kanto-sea-route-20
101,1,kanto-sea-route-21
102,1,kanto-route-22
103,1,kanto-route-24
104,1,kanto-route-25
105,1,kanto-route-26
106,1,kanto-route-27
107,1,kanto-route-28
109,1,kanto-route-3
120,1,kanto-route-4
130,1,kanto-route-5
131,1,kanto-route-6
132,1,kanto-route-7
133,1,kanto-route-8
134,1,kanto-route-9
136,1,seafoam-islands
147,1,cerulean-cave
151,1,vermilion-city
152,1,kanto-victory-road-1
154,1,viridian-city
155,1,viridian-forest
157,1,kanto-route-23
158,1,power-plant
159,1,kanto-victory-road-2
160,1,pokemon-tower
161,1,pokemon-mansion
162,1,kanto-safari-zone
231,1,pewter-city
232,1,lavender-town
233,1,indigo-plateau
234,1,saffron-city
491,1,monean-chamber
492,1,liptoo-chamber
493,1,weepth-chamber
494,1,dilford-chamber
495,1,scufib-chamber
496,1,rixy-chamber
497,1,viapos-chamber
498,1,ss-anne
500,1,mt-ember
501,1,berry-forest
502,1,icefall-cave
503,1,pattern-bush
504,1,lost-cave
505,1,kindle-road
506,1,treasure-beach
507,1,cape-brink
508,1,bond-bridge
509,1,three-isle-port
510,1,resort-gorgeous
511,1,water-labyrinth
512,1,five-isle-meadow
513,1,memorial-pillar
514,1,outcast-island
515,1,green-path
516,1,water-path
517,1,ruin-valley
518,1,trainer-tower
519,1,canyon-entrance
520,1,sevault-canyon
521,1,tanoby-ruins
526,1,one-island
527,1,four-island
528,1,five-island
529,1,kanto-altering-cave